resort,city,state,peak_elevation,base_elevation,vertical_drop,skiable_acreage,total_trails,total_lifts,avg_annual_snowfall,lift_ticket
Ski Bromont,Bromont,Quebec,1854,590,1264,450,141,9,190,54
Apex Mountain Resort,Penticton,British Columbia,7197,5197,2000,1112,79,4,236,65
Canyon Ski Area,Red Deer,Alberta,2950,2412,538,80,23,6,45,35
Fernie Alpine Resort,Fernie,British Columbia,7000,3450,3550,2500,142,10,360,90
Marble Mountain Ski Resort,Steady Brook,Newfoundland and Labrador,1791,33,1759,230,40,5,192,34
White Hills Ski Resort,Clarenville,Newfoundland and Labrador,1227,482,745,55,27,2,100,38
Ski Wentworth,Wentworth,Nova Scotia,990,715,815,150,20,3,150,35
Mount Sima,Whitehorse,Yukon,3900,2857,1043,92,15,3,2057,37
Shames Mountain,Terrace,British Columbia,3900,2300,1600,225,28,3,480,43
Castle Mountain Resort [1],Pincher Creek,Alberta,7463,4630,2833,3592,94,6,354,71
Bolton Valley [2],Waterbury,Vermont,3150,2100,1704,300,71,6,312,69
Cooper [3],Leadville,Colorado,11700,10500,1200,470,60,5,260,70
Grand Targhee Resort [4],Alta,Wyoming,10121,7851,2270,2602,99,5,500,98
Stratton Mountain Resort [5],Winhall,Vermont,3875,1872,2003,670,99,11,171,125
Mt. Rose Ski Tahoe,Reno,Nevada,9700,8260,1800,1200,60,8,396,135
Soldier Mountain,Fairfield,Idaho,7177,5756,1400,1180,36,2,2057,45
Pomerelle Mountain Resort,Albion,Idaho,9000,8000,1000,500,24,2,500,45
Schweitzer,Sandpoint,Idaho,6400,4000,2400,2900,92,7,300,86
Brundage Mountain,McCall,Idaho,7803,5882,1921,1920,46,5,320,73
Bogus Basin,Boise,Idaho,7582,5800,1800,2600,78,7,200,64
Sun Valley,Sun Valley,Idaho,9150,5750,3400,2563,121,18,22021,133
Panorama Mountain Resort,Invermere,British Columbia,7792,3773,4019,2847,120,10,196,92
Whitefish Mountain Resort,Kalispell,Montana,6817,4464,2353,3000,105,14,300,83
Arizona Snowbowl,Flagstaff,Arizona,11500,9200,2300,777,40,7,260,99
Telluride Ski Resort,Telluride,Colorado,13150,8725,4425,2000,147,18,309,149
Arapahoe Basin,Keystone,Colorado,13050,10520,2530,1428,147,9,350,109
Pajarito Mountain Ski Area [6],Los Alamos,New Mexico,10440,9000,1440,750,44,5,163,59
Taos Ski Valley [7],Taos,New Mexico,12481,9200,3281,1294,110,14,300,110
Ski Santa Fe [8],Santa Fe,New Mexico,12075,10350,1725,660,83,7,225,84
Big Sky Resort,Bozeman,Montana,11166,6800,4350,5800,317,36,400,170
Beartooth Basin Summer Ski Area,Red Lodge,Montana,10900,9900,1000,600,9,2,2057,45
Jackson Hole Mountain Resort,Teton Village,Wyoming,10450,6311,4139,2500,133,15,459,140
Loveland Ski Area,Georgetown,Colorado,13010,10800,2210,1800,94,11,422,89
Revelstoke Mountain Resort,Revelstoke,British Columbia,7300,1680,5620,3121,75,5,413,119
Mount Ashland Ski Area,Ashland,Oregon,7533,6383,1150,220,23,5,265,52
Keystone Resort,Keystone,Colorado,12408,9280,3128,3148,131,20,235,169
Breckenridge Ski Resort,Breckenridge,Colorado,12998,9600,3398,2908,187,34,353,189
Palisades Tahoe [9],Truckee,California,9050,6200,2850,6400,277,43,450,169
Mammoth Mountain,Mammoth Lakes,California,11053,7953,3100,3500,150,28,420,179
Heavenly Mountain Resort [10],South Lake Tahoe,California,10067,7200,3500,4800,94,30,360,164
Mount Shasta Ski Park,Mount Shasta,California,9200,7800,1435,425,32,4,275,69
Boreal,Soda Springs,California,7700,7200,500,380,41,8,400,74
Donner Ski Ranch,Norden,California,7781,7031,750,435,52,8,400,79
Homewood,Homewood,California,7881,6223,1658,1260,60,7,400,139
Kirkwood,Kirkwood,California,9800,7800,2000,2300,86,15,500,119
Northstar California,Truckee,California,8610,6330,2280,2904,93,19,350,169
Sierra-at-Tahoe,Twin Bridges,California,8852,6640,2212,2000,46,12,480,110
Sugar Bowl,Norden,California,8383,6883,1500,1500,94,13,500,121
Soda Springs,Soda Springs,California,7325,6673,652,200,15,2,400,50
Tahoe Donner,Truckee,California,7350,6750,600,120,10,3,400,94
Badger Pass,Yosemite National Park,California,8000,7200,800,90,10,5,300,59
Bear Valley,Angels Camp,California,8500,6600,1900,1280,67,10,359,105
Dodge Ridge,Sonora,California,8200,6600,1600,832,62,12,300,79
June Mountain,June Lake,California,10090,7545,2590,500,35,7,250,119
China Peak,Lakeshore,California,8709,7030,1673,1200,45,11,300,99
Alta Sierra,Wofford Heights,California,7091,6491,600,20247,6,2,8058,65
Buckhorn Ski and Snowboard Club,Three Points,California,7903,7203,680,40,5,2,180,64
Bear Mountain,Big Bear Lake,California,8805,7104,1665,198,24,12,100,115
Mount Baldy Ski Lifts,Mount Baldy,California,8600,6500,2100,800,26,4,170,99
Mount Waterman,Three Points,California,8030,7000,1030,150,27,3,180,60
Mountain High,Wrightwood,California,8200,6600,1600,290,59,13,13263,79
Snow Summit,Big Bear Lake,California,8174,6965,1209,240,30,14,100,115
Snow Valley Mountain Resort,Running Springs,California,7841,6800,1041,240,29,12,150,72
Wolf Creek Ski Area,Pagosa Springs,Colorado,11904,10300,1604,1600,77,7,465,76
Kicking Horse Resort,Golden,British Columbia,8218,3900,4314,3486,120,3,295,73
Eldora Mountain Resort [11],Nederland,Colorado,10600,9400,1200,680,53,12,300,129
Alyeska Resort [12],Girdwood,Alaska,3939,250,2500,1400,73,9,643,89
Marmot Basin [13],Jasper,Alberta,8570,5570,3000,1675,86,8,160,105
Lake Louise Mountain Resort [14],Lake Louise,Alberta,8650,5400,3250,4200,139,9,18069,84
Big White Ski Resort [15],Kelowna,British Columbia,7606,4950,2656,2800,118,16,294,76
Silver Star Mountain Resort [16],Vernon,British Columbia,6282,3789,2500,3269,128,12,275,81
Whistler Blackcomb [17],Whistler,British Columbia,7494,2140,5280,8171,200,26,404,93
Steamboat Springs [18],Steamboat Springs,Colorado,10568,6900,3668,2956,165,16,349,155
Copper Mountain (Colorado) [19],Frisco,Colorado,12313,9712,2601,2450,126,22,282,190
Vail Ski Resort,Vail,Colorado,11570,8120,3450,5289,195,31,354,275
Beaver Creek,Avon,Colorado,11440,8100,3340,2082,167,24,325,275
Winter Park Resort,Winter Park,Colorado,12060,9000,3060,3000,143,25,365,109
Saddleback Maine,Farmington,Maine,4120,2120,2000,485,66,5,200,64
Boyne Mountain,Boyne City,Michigan,1120,620,500,41,60,10,140,102
Mountain Creek,Vernon Township,New Jersey,1480,440,1040,200,41,8,65,80
Blue Mountain,Collingwood,Ontario,1483,741,742,250,34,15,109,67
Mt Bachelor [20],Bend,Oregon,9065,5700,3365,4318,101,11,462,99
Mount Hood Meadows [21],Portland,Oregon,7300,4523,2777,2150,85,11,430,79
Mont-Sainte-Anne,Beaupré,Quebec,2625,575,2050,450,65,13,187,65
Mont Tremblant Resort,Mont Tremblant,Quebec,2870,750,2120,627,95,14,156,70
Le Massif,Petite-Rivière-Saint-François,Quebec,2645,118,2527,410,48,4,248,61
Brian Head,Brian Head,Utah,11307,9600,1548,650,14,8,370,45
Park City Mountain Resort[82],Park City,Utah,10000,6900,3100,7300,348,41,360,179
Deer Valley,Park City,Utah,9570,6570,3000,2026,100,21,280,209
Brighton Ski Resort [22],Salt Lake City,Utah,10500,8755,1745,1050,66,6,500,99
Alta Ski Area [23],Salt Lake City,Utah,10550,8530,2020,2200,116,10,560,125
Snowbird [24],Salt Lake City,Utah,10992,7760,3240,2500,85,13,500,145
Smugglers' Notch,Jeffersonville,Vermont,3640,1030,2610,1000,78,16,288,82
Windham Mountain,Windham,New York,3100,1500,1600,279,52,12,10087,98
Hunter Mountain,Hunter,New York,3200,1600,1600,240,58,10,12089,91
Killington Ski Resort,Killington,Vermont,4241,1165,3050,1509,155,21,250,125
Okemo Mountain,Ludlow,Vermont,3344,1144,2200,632,119,19,200,119
Stowe Mountain Resort,Stowe,Vermont,3719,1559,2160,485,116,13,333,139
Sugarbush Resort,Warren,Vermont,4083,1483,2600,508,111,16,269,128
Sugarloaf,Carrabassett Valley,Maine,4237,1417,2820,1153,154,14,200,105
Snowshoe Mountain,Marlinton,West Virginia,4848,3348,1500,244,60,14,180,109
Banff Sunshine [25],Banff,Alberta,8954,5440,3514,3358,107,12,360,82
Mt. Norquay [26],Banff,Alberta,8040,5500,1650,190,28,5,120,59
Grouse Mountain [27],North Vancouver,British Columbia,4039,899,1198,212,26,5,120,58
Mount Seymour [28],North Vancouver,British Columbia,4150,935,1083,200,23,5,394,51
Cypress Mountain [29],West Vancouver,British Columbia,4724,2985,2001,600,53,6,245,60
Stevens Pass [30],Stevens Pass,Washington,5845,4061,1800,1125,37,10,450,111
Sun Peaks Resort,Kamloops,British Columbia,6824,3930,2894,4270,135,12,237,74
Crystal Mountain,Enumclaw,Washington,7012,3912,3100,2600,57,12,350,96
Red Mountain Resort [31],Rossland [32],British Columbia,6807,3887,2919,4200,110,7,300,74
Mt Baker [33],Glacier,Washington,5089,3500,1589,1000,31,10,641,63
Whiteface Mountain,Lake Placid,New York,4650,1220,3430,314,87,11,168100,104
Powder Mountain,Eden,Utah,9422102,6900,2205,8464102,167,9,500,95
Sugar Mountain Resort [34],Banner Elk,North Carolina,5300,4100,1200,120,21,8,77,77
Beech Mountain Resort [35],Beech Mountain,North Carolina,5506,4675,831,95,17,8,84,70
Appalachian Ski Mountain [36],Blowing Rock,North Carolina,4000,3635,365,27,12,5,27,66
Cataloochee Ski Area [37],Maggie Valley,North Carolina,5400,4660,740,50,18,5,24,72
Sapphire Valley Ski Area [38],Sapphire,North Carolina,3400,3200,200,8,3,3,24,45
Wolf Ridge Ski Resort [39],Mars Hill,North Carolina,4700,4000,700,65,15,4,65,65
Aspen Highlands[110],Aspen,Colorado,11678,8040,3638,1010,144,5,300,74
Aspen Mountain[112],Aspen,Colorado,11212,7945,3267,673,76,8,300,174
Buttermilk[113],Aspen,Colorado,9900,7870,2030,435,44,8,200,174
Snowmass[114],Aspen,Colorado,12510,8104,4406,3362,96,17,300,174
Lee Canyon (Ski and Snowboard Resort)[115],Las Vegas,Nevada,11289,8510,860,385,27,3,161,79
Terry Peak,Lead,South Dakota,7064,5930,1134,450,30,4,150,59
Mount Snow [40],Dover,Vermont,3600,1900,1700,600,86,20,156,118
Wintergreen,Charlottesville,Virginia,3515,2512,1003,129,26,5,35,94
Angel Fire Resort [41],Angel Fire,New Mexico,10677,8600,2077,560,80,7,210,84
Bridger Bowl,Bozeman,Montana,8700,6100,2600,2000,75,11,350,63
Turner Mountain,Libby,Montana,5952,3842,2110,1000,22,1,200,38
Discovery,Anaconda,Montana,8158,5770,2388,2200,67,8,150,52
Great Divide,Helena,Montana,7210,5880,1330,1500,140,6,180,48
Showdown,Great Falls,Montana,8200,6800,1400,640,36,4,240,49
Maverick Mountain,Dillon,Montana,8820,6800,2020,350,24,2,200,45
Lost Trail Powder Mountain,Hamilton,Montana,8200,6400,1800,1800,60,8,325,46
Blacktail Mountain,Kalispell,Montana,6780,5340,1440,1000,26,4,250,42
Bear Paw Ski Bowl,Havre,Montana,5280,4200,1080,80,11,2,140,20
Red Lodge Mountain,Red Lodge,Montana,9416,7016,2400,1635,70,7,250,69
Montana Snowbowl,Missoula,Montana,7600,5000,2600,950,39,4,300,52
Teton Pass,Choteau,Montana,7200,6190,1010,114,26,2,250,45
White Pass,Yakima,Washington,6500,4500,2000,1400,45,8,350,69
49 Degrees North,Spokane,Washington,5774,3923,1851,2325,82,6,300,62
Hurricane Ridge,Port Angeles,Washington,5500,4800,700,20247,10,3,400,37
The Summit at Snoqualmie,North Bend,Washington,5420,2610,2280,1914,62,27,435,58
Ski Bluewood,Dayton,Washington,5670,4454,1216,530,24,3,300,50
Mount Spokane,Spokane,Washington,5889,3818,2071,1704,52,8,300,62
Mission Ridge,Wenatchee,Washington,6820,4570,2250,2000,36,6,200,75
Loup Loup Ski Bowl,Twisp,Washington,5280,4040,1240,550,10,3,150,55
Echo Valley,Chelan,Washington,3900,3000,900,70,6,4,2057,30
Badger Mountain,Waterville,Washington,3470,3145,325,10,5,3,120,10
Leavenworth Ski Hill,Leavenworth,Washington,1706,1476,230,17,2,2,2057,22
Meany Lodge,Easton,Washington,25692,3281,450,54,32,1,2057,40
Sitzmark Lifts,Tonasket,Washington,4950,4300,650,20247,11,2,2057,45
Mount Eyak,Cordova,Alaska,1200,400,800,100,10,2,350,30
Moose Mountain,Fairbanks,Alaska,1985,685,1300,200,40,0,70,40
Eaglecrest,Juneau,Alaska,2750,1130,1620,640,34,4,350,58
Hilltop,Anchorage,Alaska,780,486,294,30,13,3,69,34
Arctic Valley,Anchorage,Alaska,4000,2500,1500,320,24,3,250,40
Mount Aurora Skiland,Fairbanks,Alaska,2435,1408,1027,530,46,2,2057,40
White Pine,Pinedale,Wyoming,9500,8450,1050,350,27,2,150,50
Snowy Range,Centennial,Wyoming,9663,8798,865,250,27,5,245,49
Snow King,Jackson,Wyoming,7808,6237,1571,400,32,5,175,59
Pine Creek,Cokeville,Wyoming,8200,6875,1325,370,30,2,150,45
Hogadon,Casper,Wyoming,8000,7370,630,60,27,2,140,48
Meadowlark Ski Lodge,Ten Sleep,Wyoming,9500,8500,1000,300,14,3,2057,48
Sleeping Giant,Cody,Wyoming,7428,6619,810,184,49,3,310,42
Elko Snobowl,Elko,Nevada,6988,6338,650,60,10,2,24,20
Diamond Peak,Incline Village,Nevada,8540,6700,1840,655,30,6,225,99
Great Bear Ski Valley,Sioux Falls,South Dakota,1530,1352,178,220,14,4,150,29
Huff Hills,Mandan,North Dakota,2150,1725,425,20247,21,3,40,35
Bottineau Winter Park,Bottineau,North Dakota,2450,2270,180,40,8,6,13,35
Elk Ridge,Williams,Arizona,8150,7500,650,37,10,2,150,40
Mount Lemmon Ski Valley,Tucson,Arizona,9157,8200,957,200,21,3,180,60
Sunrise Park,Greer,Arizona,11100,9200,1900,800,65,9,250,78
Sandia Peak,Albuquerque,New Mexico,10378,8678,1700,200,39,5,100,55
Ski Apache,Ruidoso,New Mexico,11500,9600,1900,750,55,8,185,74
Sipapu,Taos,New Mexico,9225,8200,1055,200,41,6,190,45
Red River,Red River,New Mexico,10350,8750,1600,209,64,7,214,82
Kelly Canyon,Idaho Falls,Idaho,6600,5600,1000,640,26,5,200,42
Pebble Creek,Pocatello,Idaho,8560,6360,2200,1100,54,3,250,52
Magic Mountain,Twin Falls,Idaho,7240,6540,700,120,11,4,230,33
Blizzard Mountain,Arco,Idaho,6305,5595,710,20247,43,1,2057,64
Rotarun,Hailey,Idaho,5895,5420,475,20247,12,1,2057,20
Chipmunk Hill,Challis,Idaho,25692,3281,1173,30,1,1,2057,5
Snowhaven,Grangeville,Idaho,5600,5200,400,40,9,2,60,19
Tamarack,Boise,Idaho,7660,4900,2760,1100,45,6,300,71
Cottonwood Butte,Cottonwood,Idaho,5730,4885,845,260,7,2,45,20
Bald Mountain,Pierce,Idaho,4800,4000,800,140,16,2,100,20
Silver Mountain,Coeur d'Alene,Idaho,6297,4100,2197,1600,67,8,300,58
Mohawk Mountain,Cornwall,Connecticut,1600,960,640,107,25,8,24,67
Powder Ridge,Middlefield,Connecticut,803,377,426,80,19,7,60,49
Ski Sundown,Hartford,Connecticut,1075,450,625,70,16,5,45,62
Mount Southington,Waterbury,Connecticut,525,100,425,51,14,7,80,62
Yawgoo Valley,Exeter,Rhode Island,310,70,240,36,14,3,39,50
Frost Fire,Walhalla,North Dakota,1400,1070,330,20247,10,3,2057,23
Hidden Valley,Wildwood,Missouri,860,540,320,65,17,9,19,49
Snow Creek,Weston,Missouri,1099,799,300,25,12,5,20,47
Ober Gatlinburg,Gatlinburg,Tennessee,3300,2700,600,38,10,4,9,65
Paoli Peaks,Paoili,Indiana,900,600,300,65,17,8,18,45
Perfect North Slopes,Lawrenceburg,Indiana,800,400,400,100,23,11,23,52
Alpine Valley,Chesterland,Ohio,1500,1260,240,72,11,5,120,44
Boston Mills/Brandywine,Peninsula,Ohio,871,531,240,79,18,16,54,44
Mad River,Bellafontaine,Ohio,1460,1160,300,144,23,12,36,49
Snow Trails,Mansfield,Ohio,1475,1175,300,80,17,7,52,52
Big Creek,Concord,Ohio,1466,1292,174,23,5,2,102,64
Wisp Ski Resort,McHenry,Maryland,3115,2145,700,132,34,12,100,49
Campgaw Mountain,Mahwah,New Jersey,726,450,276,23,12,5,45,41
Mountain Creek,Vernon,New Jersey,1490,450,1040,167,46,9,65,80
Cockaigne Resort,Cherry Creek,New York,2,1592,430,100,11,3,175,50
Big Rock,Presque Isle,Maine,1590,670,920,60,27,3,100,40
Big Squaw Mountain,Greenville,Maine,2920,1300,1620,1216,33,1,136,30
Mount Jefferson,Lee,Maine,775,343,432,160,13,2,75,25
New Hermon Mountain,Bangor,Maine,450,150,300,70,20,3,90,35
Camden Snow Bowl,Camden,Maine,1080,235,845,100,17,3,50,33
Powderhouse Hill,Portland,Maine,240,120,120,20247,3,1,2057,5
Lost Valley,Lewiston,Maine,480,240,240,45,27,4,99,60
Shawnee Peak,Bridgton,Maine,25692,3281,1300,245,44,6,110,75
Sunday River,Newry,Maine,3140,800,2340,870,153,18,155,109
Ski Mount Abraham,Bethel,Maine,1990,940,1050,650,44,5,115,49
Black Mountain of Maine,Lewiston,Maine,2380,1000,1380,300,46,2,120,45
Titcomb Mountain,Farmington,Maine,750,400,350,45,16,3,85,17
Spruce Mountain Ski Slope,Jay,Maine,310,10,300,20247,12,3,2057,25
Eaton Mountain,Waterville,Maine,840,220,620,130,18,2,72,15
Baker Mountain,Bingham,Maine,25692,3281,460,20247,5,1,2057,10
Blandford Ski Area,Blandford,Massachusetts,1490,1025,465,55,29,5,70,45
Berkshire East,Greenfield,Massachusetts,1720,540,1180,180,45,6,120,69
Ski Butternut,Great Barrington,Massachusetts,1764,645,1119,110,22,10,115,65
Jiminy Peak,Pittsfield,Massachusetts,2375,1125,1140,170,45,8,110,84
Wachusett Mountain,Worcester,Massachusetts,2006,1006,1000,110,22,7,100,73
Nashoba Valley,Boston,Massachusetts,422,182,240,59,17,9,55,60
Blue Hills Ski Area,Boston,Massachusetts,635,326,309,60,8,4,2057,45
Otis Ridge Ski Camp,Otis,Massachusetts,1700,1300,400,55,11,5,70,40
