resort,city,state,peak_elevation,base_elevation,vertical_drop,skiable_acreage,total_trails,total_lifts,avg_annual_snowfall,lift_ticket
Ski Bradford,Haverhill,Massachusetts,272,24,248,48,15,10,2057,58
Ski Ward,Shrewsbury,Massachusetts,420,210,210,45,9,6,80,55
Bosquet Ski Area,Pittsfield,Massachusetts,1818,1068,750,200,23,5,83,47
Chestnut Mountain,Galena,Illinois,1020,600,420,220,19,9,34,60
Snowstar Winter Sports Park,Moline,Illinois,790,528,262,28,14,6,38,41
Four Lakes Alpine Snowsports,Naperville,Illinois,500,400,100,9,7,6,24,28
Villa Olivia,Bartlett,Illinois,500,320,180,15,7,7,25,40
Mount Crescent,Omaha,Iowa,1500,1200,300,50,11,2,30,39
Seven Oaks,Boone,Iowa,975,800,175,35,11,4,40,40
Sleepy Hollows Sports Park,Des Moines,Iowa,938,800,138,80,8,2,2057,25
Sundown Mountain,Dubuque,Iowa,1059,584,475,55,21,6,45,46
Bryce Resort,Basye,Virginia,1750,1250,500,25,8,7,30,67
Massanutten Resort,Harrisonburg,Virginia,2925,1750,1110,70,13,7,35,79
Homestead Resort,Hot Springs,Virginia,3200,2500,700,45,10,2,50,35
Canaan Valley Resort,Dryfork,West Virginia,4280,3430,850,91,39,4,150,68
Winterplace,Ghent,West Virginia,3600,2997,603,90,28,9,100,72
Oglebay Resort,Wheeling,West Virginia,25692,3281,168,20247,1,1,2057,28
Cloudmont Resort,Mentone,Alabama,1800,1650,150,9,2,2,0,40
Anthony Lakes,North Powder,Oregon,8000,7100,900,1100,21,3,300,40
Coopper Spur,Hood River,Oregon,4350,4000,350,50,10,4,100,39
Ferguson Ridge,Joseph,Oregon,5840,5200,640,170,8,2,300,20
Hoodoo,Sisters,Oregon,5703,4668,1035,806,32,5,360,56
Mount Hood Skibowl,Government Camp,Oregon,5027,3500,1527,960,65,9,300,55
Spout Springs,Tollgate,Oregon,5450,4920,530,200,17,2,130,64
Timberline Summit Ski Area,Government Camp,Oregon,4306,4000,306,70,3,2,150,38
Timberline Lodge,Government Camp,Oregon,8540,4000,1173,1430,35,9,540,85
Warner Canyon,Lakeview,Oregon,6003,5271,732,200,21,1,50,35
Willamette Pass,Oakridge,Oregon,6683,5120,1563,555,29,6,430,60
Crested Butte,Crested Butte,Colorado,12170,9115,3055,1547,121,16,300,113
Echo Mountain,Evergreen,Colorado,10650,10050,600,226,13,2,275,55
Granby Ranch,Granby,Colorado,9202,8202,1000,406,40,5,220,84
Hesperus,Durango,Colorado,8888,8200,688,60,26,1,150,39
Howelson Hill,Steamboat Springs,Colorado,7136,6696,440,50,17,4,150,30
Kendall Mountain,Silverton,Colorado,9540,9300,240,16,11,1,200,20
Monarch,Salida,Colorado,11960,10790,1170,800,63,5,400,94
Powderhorn Resort,Grand Junction,Colorado,9850,8200,1650,1600,63,5,250,71
Purgatory Resort,Durango,Colorado,10822,8793,2029,1200,85,10,260,99
Silverton Mountain,Silverton,Colorado,13487,10400,3087,1819,48,1,450,79
Sunlight Mountain,Glenwood Springs,Colorado,9895,7885,2010,470,67,3,250,55
Cranor Hill,Gunnison,Colorado,8500,8100,400,45,4,1,75,17
Lake City,Lake City,Colorado,8850,8600,250,14,7,1,2057,20
Beaver Mountain,Logan,Utah,8800,7200,1600,667,47,5,400,50
Cherry Peak,Richmond,Utah,7050,5775,1265,200,29,3,322,40
Eagle Point,Beaver,Utah,10600,9100,1500,650,40,5,400,65
Nordic Valley,Ogden,Utah,6400,5440,960,140,23,4,300,45
Snowbasin,Huntsville,Utah,9350,6391,2959,3000,104,11,350,99
Solitude Mountain,Salt Lake City,Utah,10488,7988,2500,1200,80,8,500,115
Sundance Mountain,Provo,Utah,8250,6100,2150,450,44,5,320,90
Afton Alps,Afton,Minnesota,700,350,350,300,50,22,60,28
Andes Tower Hills,Kensington,Minnesota,1620,1330,290,35,15,6,55,45
Buck Hill,Burnsville,Minnesota,1211,949,262,45,16,9,60,47
Buena Vista Ski Area,Bemidji,Minnesota,1510,1280,230,30,16,5,78,44
Chester Bowl Park,Duluth,Minnesota,875,700,175,6,5,1,100,15
Coffee Mill Ski Area,Wabasha,Minnesota,1150,725,425,40,14,3,48,37
Detroit Mountain,Detroit Lakes,Minnesota,1607,1443,210,45,21,8,2057,42
Giants Ridge,Biwabik,Minnesota,1972,1472,500,202,35,7,85,34
Hyland Hills,Bloomington,Minnesota,1075,900,175,35,13,6,60,35
Lutsen Mountains,Lutsen,Minnesota,1688,825,863,1000,95,9,115,86
Mount Itasca,Grand Rapids,Minnesota,25692,3281,1173,20247,43,7,2057,20
Mount Kato,Mankato,Minnesota,840,600,240,55,19,11,50,49
Powder Ridge,Kimball,Minnesota,850,540,310,60,15,6,45,50
Mount Ski Gull,Nisswa,Minnesota,1515,1285,230,40,10,5,50,39
Spirit Mountain,Duluth,Minnesota,1298,620,678,175,22,8,90,59
Welch Village,Red Wing,Minnesota,1060,700,360,140,60,11,45,62
Wild Mountain,Taylors Falls,Minnesota,1113,813,300,100,26,9,50,56
Abenaki Ski Area,Wolfeboro,New Hampshire,815,600,215,18,7,2,2057,25
Arrowhead Recreation Area,Claremont,New Hampshire,25692,3281,120,225,9,2,2057,9
Attitash Mountain Resort,North Conway,New Hampshire,2350,600,1750,20247,68,9,120,56
Black Mountain Ski Area,Jackson,New Hampshire,2350,1250,1100,143,40,5,125,62
Bretton Woods,Bretton Woods,New Hampshire,3100,1600,1500,464,62,10,200,96
Cannon Mountain Ski Area,Franconia,New Hampshire,4180,1850,2330,265,73,10,160,82
Campton Mountain,Campton,New Hampshire,1505,1192,313,20247,43,2,2057,20
Cranmore Mountain Resort,North Conway,New Hampshire,2000,600,1200,200,54,10,150,89
Crotched Mountain Ski and Ride,Manchester,New Hampshire,2066,1050,1016,75,23,5,105,71
Dartmouth Skiway,Lyme,New Hampshire,1943,975,968,104,30,4,100,53
Veterans Memorial Recreation Area,Franklin,New Hampshire,25692,3281,220,20247,10,2,2057,64
Granite Gorge,Keene,New Hampshire,1325,935,390,150,19,3,2057,49
Gunstock Mountain Resort,Laconia,New Hampshire,2267,867,1400,227,55,6,120,84
Kanc Recreation Area,Lincoln,New Hampshire,1080,859,221,7,2,1,2057,5
King Pine Ski Area,Madison,New Hampshire,850,500,350,48,17,6,120,59
Loon Mountain Resort,Lincoln,New Hampshire,3050,950,2100,370,61,12,163,104
McIntyre Ski Area,Manchester,New Hampshire,510,340,169,37,10,5,2057,42
Mt. Eustis Ski Hill,Littleton,New Hampshire,1373,1133,240,20247,43,1,2057,5
Mount Prospect Ski Tow,Lancaster,New Hampshire,1700,1400,300,20247,43,1,2057,7
Mount Sunapee Resort,Claremont,New Hampshire,2743,1230,1513,230,66,11,100,79
Pats Peak Ski Area,Henniker,New Hampshire,1460,690,770,103,28,11,100,75
Ragged Mountain Resort,Danbury,New Hampshire,2250,1000,1250,250,57,6,100,87
Red Hill Ski Area,Moultonborough,New Hampshire,820,610,210,20247,9,1,2057,64
Storrs Hill Ski Area,Lebanon,New Hampshire,580,280,300,20,3,1,2057,15
Tenney Mountain Resort,Plymouth,New Hampshire,2149,749,1400,110,45,3,140,59
Waterville Valley Resort,Waterville Valley,New Hampshire,3840,1820,2020,220,50,11,150,69
Whaleback Mountain,Enfield,New Hampshire,1800,1100,700,85,30,4,110,45
Wildcat Mountain,Jackson,New Hampshire,4062,1950,2112,225,48,5,207,120
Bear Creek Mountain Resort,Macungie,Pennsylvania,1100,590,510,86,23,7,30,60
Blue Knob All Seasons Resort,Claysburg,Pennsylvania,3146,2074,1072,100,34,6,120,70
Blue Mountain Ski Area,Palmerton,Pennsylvania,1540,458,1082,164,39,13,33,70
Boyce Park Four Seasons Lodge,Plum,Pennsylvania,1245,1115,130,25,9,5,2057,28
Camelback Mountain Resort,Scranton,Pennsylvania,2130,1330,800,166,35,16,50,78
Elk Mountain Ski Resort,Scranton,Pennsylvania,2667,1742,925,180,27,7,60,69
Hidden Valley Resort,Hidden Valley,Pennsylvania,2875,2405,470,110,26,11,140,61
Jack Frost - Big Boulder Ski Area,White Haven,Pennsylvania,2000,1400,600,145,35,22,50,68
Laurel Mountain Ski Resort,Ligonier,Pennsylvania,2800,2000,800,70,20,2,2057,58
Liberty Mountain Resort,Gettysburg,Pennsylvania,1190,570,620,100,22,9,31,105
Mount Pleasant of Edinboro,Edinboro,Pennsylvania,1550,1200,350,35,10,2,150,33
Seven Springs Mountain Resort,Seven Springs,Pennsylvania,2994,2240,750,285,40,14,150,76
Shawnee Mountain Ski Area,East Stroudsburg,Pennsylvania,1351,700,651,125,23,9,50,68
Ski Big Bear,Lackawaxen,Pennsylvania,1250,600,650,26,18,7,69,64
Denton Hill State Park,Ulysses,Pennsylvania,2460,1800,660,20247,43,5,2057,64
Roundtop Mountain Resort,Lewisberry,Pennsylvania,1335,755,600,103,20,7,30,73
Spring Mountain Adventure,Schwenksville,Pennsylvania,528,78,450,45,9,6,20,48
Ski Sawmill Resort,Morris,Pennsylvania,2215,1700,515,15,14,5,24,48
Montage Mountain Resorts,Scranton,Pennsylvania,1960,960,1000,140,26,9,60,58
Tussey Mountain Ski and Recreation,State College,Pennsylvania,1750,1230,520,38,7,3,41,62
Whitetail Resort,Clear Spring,Pennsylvania,1800,865,935,109,25,9,40,64
Alpine Valley Resort,Elkhorn,Wisconsin,1040,820,220,90,20,12,80,53
Bruce Mound Winter Sports Area,Merrillan,Wisconsin,1375,1000,375,40,12,5,42,26
Camp 10 Ski Area,Rhinelander,Wisconsin,1740,1510,230,20247,15,4,2057,38
Cascade Mountain,Portage,Wisconsin,1270,820,450,175,47,11,56,66
Christie Mountain,Bruce,Wisconsin,1650,1300,350,45,30,5,48,40
Christmas Mountain,Wisconsin Dells,Wisconsin,1250,1000,250,40,16,3,20,45
The Rock Snowpark,Milwaukee,Wisconsin,925,700,225,75,10,5,2057,36
Devil's Head Resort,Baraboo,Wisconsin,1420,930,490,268,28,10,55,66
Granite Peak Ski Area,Wausau,Wisconsin,1950,1250,700,220,75,7,75,49
Kettlebowl Ski Area,Antigo,Wisconsin,1780,1455,325,20247,7,5,2057,5
Kewaunee Winter Park,Kewaunee,Wisconsin,740,580,160,20247,5,1,2057,15
Keyes Peak Ski Hill,Florence,Wisconsin,1480,1250,230,20247,5,2,60,12
Little Switzerland Ski Area,Slinger,Wisconsin,1269,1069,200,50,18,8,45,43
Mont Du Lac Resort,Superior,Wisconsin,920,640,270,10,11,2,55,40
Grand Geneva Resort and Spa,Lake Geneva,Wisconsin,1000,789,211,30,20,5,25,55
Mount Ashwabay Ski and Recreation Area,Bayfield,Wisconsin,25692,3281,317,65,13,2,2057,26
Mount La Cross,La Crosse,Wisconsin,1010,594,516,100,19,4,40,58
Navarino Hills,Shiocton,Wisconsin,885,785,100,20247,43,4,2057,64
Nordic Mountain,Wild Rose,Wisconsin,1137,872,265,60,18,7,80,39
Nutt Hill Ski Area,Plymouth,Wisconsin,25692,3281,100,10,2,1,2057,64
Powers Bluff County Park and Winter Recreation Area,Arpin,Wisconsin,1430,1180,250,20247,3,2,2057,10
Standing Rocks County Park and Winter Recreation Area,Portage,Wisconsin,25692,3281,125,20247,5,1,2057,16
Sunburst Winter Sports Park,West Bend,Wisconsin,1100,866,214,40,12,9,50,44
Triangle Sports Area,Green Bay,Wisconsin,710,640,70,20247,2,3,2057,5
Trollhaugen,Dresser,Wisconsin,1200,920,280,86,24,10,50,55
Tyrol Basin,Mount Horeb,Wisconsin,1130,870,260,30,16,6,41,48
Whitecap Mountains Resort,Upson,Wisconsin,1750,1295,400,400,43,5,200,65
Whitetail Ridge Ski Area,Fort McCoy,Wisconsin,1050,865,185,20247,43,1,2057,37
Wilmot Mountain Ski Resort,Wilmot,Wisconsin,960,770,190,120,23,11,48,65
Alpine Valley,White Lake,Michigan,500,126,374,100,25,14,20,48
Apple Mountain,Freeland,Michigan,820,600,220,80,12,6,52,64
Big Powderhorn Mountain Resort,Bessemer,Michigan,1800,1200,600,253,45,10,214,69
Bittersweet Ski Resort,Otsego,Michigan,850,450,400,100,20,12,90,50
Snow River Mountain Resort,Bessemer,Michigan,1935,1297,638,321,56,17,205,65
Boyne Highlands Resort,Harbor Springs,Michigan,1290,745,545,435,55,10,140,75
Caberfae Peaks,Cadillac,Michigan,1569,1060,485,200,34,5,140,59
Cannonsburg Ski Area,Belmont,Michigan,1100,850,250,100,21,10,100,39
Crystal Mountain,Thompsonville,Michigan,1132,757,375,102,58,8,132,74
Hickory Hills Ski Area,Traverse City,Michigan,25692,3281,237,125,8,5,2057,25
The Homestead,Glen Arbor,Michigan,900,580,320,16,15,5,150,39
Marquette Mountain Ski Area,Marquette,Michigan,1257,800,457,169,25,4,117,54
Mont Ripley Ski Area,Hancock,Michigan,1140,700,440,112,25,4,275,52
Mount Bohemia,Mohawk,Michigan,1500,600,900,585,102,2,273,74
Mount Brighton,Brighton,Michigan,1330,1100,230,130,26,13,60,64
Mount Holiday Ski and Recreational Area,Traverse City,Michigan,440,240,200,45,12,4,120,34
Mount McSauba,Charlevoix,Michigan,650,400,150,80,10,4,2057,18
Mount Zion Ski Hill,Ironwood,Michigan,1400,1100,300,20,9,2,2057,25
Mulligan's Hollow Ski Bowl,Grand Haven,Michigan,700,570,130,10,7,5,60,20
Norway Mountain Resort,Norway,Michigan,1335,835,500,186,17,6,100,45
Nub's Nob Ski Area,Harbor Springs,Michigan,1338,911,427,248,53,10,123,88
Otsego Club and Resort,Gaylord,Michigan,1380,1080,300,160,30,5,150,65
Petoskey Winter Sports Park,Petoskey,Michigan,790,720,70,20247,43,1,2057,64
Pine Knob,Clarkston,Michigan,1308,1009,300,80,14,6,2057,47
Pine Mountain Resort,Iron Mountain,Michigan,1650,1150,500,220,31,4,60,49
Porcupine Mountains Ski Area,Ontonagon,Michigan,1360,720,640,200,19,3,2057,45
Shanty Creek Resort,Bellaire,Michigan,1125,675,450,70,42,8,160,74
Ski Brule,Stambaugh,Michigan,1861,1361,500,150,17,11,150,55
Snow Snake Mountain Ski Area,Harrison,Michigan,1230,1020,210,40,12,6,2057,35
Timber Ridge,Gobles,Michigan,850,650,200,50,16,8,2057,45
Treetops Resort,Gaylord,Michigan,1345,1120,225,80,23,5,175,43
Belleyare Ski Center,Kingston,New York,3429,2024,1405,173,52,8,141,80
Gore Mountain Ski Resort,Glens Falls,New York,3600,1000,2600,428,109,15,150,94
Holiday Valley,Buffalo,New York,2250,1500,750,290,58,13,180,85
Peek'n Peak Resort,Erie,New York,1800,1400,400,130,27,9,105,64
Catamount Ski Area,Great Barrington,New York,2000,1000,1000,119,36,7,75,30
Greek Peak Mountain Resort,Virgil,New York,2200,1148,952,220,55,9,122,79
Titus Mountain Family Ski Center,Malone,New York,2025,825,1200,380,50,10,150,49
Kissing Bridge,Glenwood,New York,1700,1150,550,700,39,10,120,65
Holiday Mountain,Monticello,New York,1550,1150,400,37,9,4,50,42
Bristol Mountain Ski Resort,Rochester,New York,2150,1000,1150,160,35,6,130,79
Buffalo Ski Center,Colden,New York,3429,2025,500,225,43,6,2057,50
Big Tupper Ski Area,Tupper Lake,New York,25692,3281,1173,20247,43,7,2057,64
Four Season Ski Center,Fayetteville,New York,604,545,59,12,4,2,2057,24
Maple Ski Ridge,Schenectady,New York,1200,750,450,25,10,3,2057,39
McCauley Mountain Ski Center,Old Forge,New York,2280,1647,633,70,21,5,200,35
Mount Pisgah Ski Area,Saranac Lake,New York,2060,1770,290,15,5,1,2057,15
Beartown Ski Area,Plattburgh,New York,1000,850,150,32,9,2,2057,22
Mount Peter,Warwick,New York,1250,800,450,69,14,5,50,62
Oak Mountain,Speculator,New York,2400,1650,750,46,22,4,120,40
Royal Mountain Ski Area,Johnstown,New York,1800,1250,550,35,14,3,90,45
Song Mountain Resort,Tully,New York,1940,1240,700,93,24,5,125,61
Snow Ridge Ski Resort,Turin,New York,2000,1350,650,130,21,6,230,48
Labrador Mountain,Truxton,New York,1825,1125,700,250,23,4,125,61
Swain Resort,Grove,New York,1970,1320,650,130,35,5,120,65
Dry Hill Ski Area,Watertown,New York,950,650,300,37,7,3,125,38
Thunder Ridge Ski Area,Patterson,New York,1270,670,600,90,21,7,2057,57
West Mountain,Glens Falls,New York,1470,460,1010,124,30,7,80,79
Willard Mountain,Greenwich,New York,1415,910,505,50,16,5,80,47
Toggenburg Mountain Ski Center,Fabius,New York,2000,1300,700,85,22,5,130,57
Woods Valley Ski Area,Rome,New York,1400,900,500,25,21,6,180,39
Brantling Ski Slopes,Sodus,New York,850,600,250,20,10,5,110,32
Plattekill Mountain,Roxbury,New York,3500,2400,1100,110,38,4,175,68
Bromley Mountain Resort,Manchester,Vermont,3284,1950,1334,178,47,9,168,92
Burke Mountain,Lyndonville,Vermont,3267,1210,2011,178,50,6,217,75
Cochran's Ski Area,Richmond,Vermont,950,600,350,15,8,3,150,19
Hard'ack Recreation Area,St. Albans,Vermont,25692,3281,100,20247,43,1,2057,64
Living Memorial Park,Brattleboro,Vermont,1126,922,204,8,2,1,2057,5
Lyndon Outing Club,Lyndon,Vermont,1247,814,433,32,10,2,2057,15
Mad River Glen,Waitsfield,Vermont,3637,1600,2037,115,52,5,230,79
Jay Peak,Jay,Vermont,3968,1815,2153,385,79,9,350,89
Magic Mountain,Londonderry,Vermont,2850,1350,1500,205,51,6,150,74
Middlebury College Snow Bowl,Hancock,Vermont,2720,1720,1000,110,17,3,250,60
Pico Mountain,Killington,Vermont,3967,2000,1967,468,57,7,250,85
Suicide Six,Pomfret,Vermont,1200,550,650,100,23,3,110,79
Searchmont,"Sault Ste. Marie, Ontario",Ontario,912,1470,700,100,21,4,132,59
Chapman Ski Hill,Durango,Colorado,7297,6522,775,7,1,2,71,15
Lee's Ski Hill,Ouray,Colorado,7867,7792,75,2,1,1,134,64
Whitewater Ski Resort,Nelson,British Columbia,6709,4665,2044,1180,46,4,472,64
Kimberley Alpine Resort,Kimberley,British Columbia,6500,4035,2465,1800,80,5,150,109
Nakiska,Kananaskis,Alberta,7415,5003,2412,1021,79,6,100,64
Salmo Ski Area,Salmo,British Columbia,25692,3281,1120,20247,43,7,120,64
Sasquatch Mountain,Chehalis,British Columbia,25692,3281,1100,300,43,7,2057,64
Mount Washington Alpine Resort,Courtenay,British Columbia,25692,3281,1663,1700,43,7,432,64
Powder King,Prince George,British Columbia,5166,3066,2100,1475,37,3,492436,98
Manning Park,Manning Park,British Columbia,25692,3281,1417,140,43,7,296,64
Mount Baldy Ski Area,Oliver,British Columbia,25692,3281,1293,600,43,7,256,64
Harper Mountain,Kamloops,British Columbia,25692,3281,1400,400,43,7,156,64
Little Ski Hill,McCall,Idaho,5600,5195,405,50,6,1,140,25
